areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
E08000016,Barnsley,utla,2021-05-03,56.7
E08000031,Wolverhampton,utla,2021-05-03,13.7
E08000032,Bradford,utla,2021-05-03,48.5
E09000018,Hounslow,utla,2021-05-03,28.4
E09000032,Wandsworth,utla,2021-05-03,14.3
E09000033,Westminster,utla,2021-05-03,21.0
E10000034,Worcestershire,utla,2021-05-03,9.1
S12000013,Na h-Eileanan Siar,utla,2021-05-03,0.0
S12000029,South Lanarkshire,utla,2021-05-03,20.3
S12000045,East Dunbartonshire,utla,2021-05-03,37.7
W06000023,Powys,utla,2021-05-03,6.0
E06000003,Redcar and Cleveland,utla,2021-05-02,11.7
E06000014,York,utla,2021-05-02,16.1
E06000050,Cheshire West and Chester,utla,2021-05-02,9.9
E08000001,Bolton,utla,2021-05-02,82.8
E08000016,Barnsley,utla,2021-05-02,57.9
E08000031,Wolverhampton,utla,2021-05-02,15.6
E08000032,Bradford,utla,2021-05-02,49.1
E09000018,Hounslow,utla,2021-05-02,30.9
E09000032,Wandsworth,utla,2021-05-02,14.6
E09000033,Westminster,utla,2021-05-02,23.3
E10000034,Worcestershire,utla,2021-05-02,8.7
S12000013,Na h-Eileanan Siar,utla,2021-05-02,0.0
S12000029,South Lanarkshire,utla,2021-05-02,19.3
S12000045,East Dunbartonshire,utla,2021-05-02,41.4
W06000023,Powys,utla,2021-05-02,5.3
E06000003,Redcar and Cleveland,utla,2021-05-01,10.9
E06000014,York,utla,2021-05-01,17.1
E06000050,Cheshire West and Chester,utla,2021-05-01,10.8
E08000001,Bolton,utla,2021-05-01,82.1
E08000016,Barnsley,utla,2021-05-01,60.8
E08000031,Wolverhampton,utla,2021-05-01,17.1
E08000032,Bradford,utla,2021-05-01,50.8
E09000018,Hounslow,utla,2021-05-01,31.7
E09000032,Wandsworth,utla,2021-05-01,16.1
E09000033,Westminster,utla,2021-05-01,24.5
E10000034,Worcestershire,utla,2021-05-01,10.4
S12000013,Na h-Eileanan Siar,utla,2021-05-01,0.0
S12000029,South Lanarkshire,utla,2021-05-01,19.3
S12000045,East Dunbartonshire,utla,2021-05-01,42.3
W06000023,Powys,utla,2021-05-01,3.8
E06000003,Redcar and Cleveland,utla,2021-04-30,14.6
E06000014,York,utla,2021-04-30,18.5
E06000050,Cheshire West and Chester,utla,2021-04-30,10.2
E08000001,Bolton,utla,2021-04-30,73.4
E08000016,Barnsley,utla,2021-04-30,62.0
E08000031,Wolverhampton,utla,2021-04-30,20.1
E08000032,Bradford,utla,2021-04-30,51.5
E09000018,Hounslow,utla,2021-04-30,33.1
E09000032,Wandsworth,utla,2021-04-30,18.2
E09000033,Westminster,utla,2021-04-30,27.2
E10000034,Worcestershire,utla,2021-04-30,10.6
S12000013,Na h-Eileanan Siar,utla,2021-04-30,0.0
S12000029,South Lanarkshire,utla,2021-04-30,17.2
S12000045,East Dunbartonshire,utla,2021-04-30,46.0
W06000023,Powys,utla,2021-04-30,3.0
E06000003,Redcar and Cleveland,utla,2021-04-29,13.1
E06000014,York,utla,2021-04-29,19.9
E06000050,Cheshire West and Chester,utla,2021-04-29,8.2
E08000001,Bolton,utla,2021-04-29,69.2
E08000016,Barnsley,utla,2021-04-29,58.7
E08000031,Wolverhampton,utla,2021-04-29,19.0
E08000032,Bradford,utla,2021-04-29,51.1
E09000018,Hounslow,utla,2021-04-29,33.1
E09000032,Wandsworth,utla,2021-04-29,18.2
E09000033,Westminster,utla,2021-04-29,27.6
E10000034,Worcestershire,utla,2021-04-29,10.7
S12000013,Na h-Eileanan Siar,utla,2021-04-29,0.0
S12000029,South Lanarkshire,utla,2021-04-29,16.8
S12000045,East Dunbartonshire,utla,2021-04-29,48.8
W06000023,Powys,utla,2021-04-29,3.0
E06000003,Redcar and Cleveland,utla,2021-04-28,11.7
E06000014,York,utla,2021-04-28,21.4
E06000050,Cheshire West and Chester,utla,2021-04-28,8.5
E08000001,Bolton,utla,2021-04-28,61.9
E08000016,Barnsley,utla,2021-04-28,55.5
E08000031,Wolverhampton,utla,2021-04-28,20.1
E08000032,Bradford,utla,2021-04-28,50.2
E09000018,Hounslow,utla,2021-04-28,36.1
E09000032,Wandsworth,utla,2021-04-28,21.2
E09000033,Westminster,utla,2021-04-28,28.7
E10000034,Worcestershire,utla,2021-04-28,10.2
S12000013,Na h-Eileanan Siar,utla,2021-04-28,0.0
S12000029,South Lanarkshire,utla,2021-04-28,16.8
S12000045,East Dunbartonshire,utla,2021-04-28,48.8
W06000023,Powys,utla,2021-04-28,4.5
E06000003,Redcar and Cleveland,utla,2021-04-27,10.9
E06000014,York,utla,2021-04-27,19.0
E06000050,Cheshire West and Chester,utla,2021-04-27,10.2
E08000001,Bolton,utla,2021-04-27,56.7
E08000016,Barnsley,utla,2021-04-27,55.1
E08000031,Wolverhampton,utla,2021-04-27,18.2
E08000032,Bradford,utla,2021-04-27,47.2
E09000018,Hounslow,utla,2021-04-27,34.3
E09000032,Wandsworth,utla,2021-04-27,23.7
E09000033,Westminster,utla,2021-04-27,28.7
E10000034,Worcestershire,utla,2021-04-27,11.1
S12000013,Na h-Eileanan Siar,utla,2021-04-27,0.0
S12000029,South Lanarkshire,utla,2021-04-27,21.8
S12000045,East Dunbartonshire,utla,2021-04-27,42.3
W06000023,Powys,utla,2021-04-27,6.0
E06000003,Redcar and Cleveland,utla,2021-04-26,13.9
E06000014,York,utla,2021-04-26,22.8
E06000050,Cheshire West and Chester,utla,2021-04-26,8.7
E08000001,Bolton,utla,2021-04-26,48.3
E08000016,Barnsley,utla,2021-04-26,54.3
E08000031,Wolverhampton,utla,2021-04-26,22.8
E08000032,Bradford,utla,2021-04-26,52.4
E09000018,Hounslow,utla,2021-04-26,33.9
E09000032,Wandsworth,utla,2021-04-26,27.3
E09000033,Westminster,utla,2021-04-26,32.5
E10000034,Worcestershire,utla,2021-04-26,12.4
S12000013,Na h-Eileanan Siar,utla,2021-04-26,0.0
S12000029,South Lanarkshire,utla,2021-04-26,20.3
S12000045,East Dunbartonshire,utla,2021-04-26,43.3
W06000023,Powys,utla,2021-04-26,6.8
E06000003,Redcar and Cleveland,utla,2021-04-25,13.9
E06000014,York,utla,2021-04-25,21.4
E06000050,Cheshire West and Chester,utla,2021-04-25,9.9
E08000001,Bolton,utla,2021-04-25,45.9
E08000016,Barnsley,utla,2021-04-25,60.0
E08000031,Wolverhampton,utla,2021-04-25,22.4
E08000032,Bradford,utla,2021-04-25,54.7
E09000018,Hounslow,utla,2021-04-25,35.4
E09000032,Wandsworth,utla,2021-04-25,28.2
E09000033,Westminster,utla,2021-04-25,35.6
E10000034,Worcestershire,utla,2021-04-25,13.4
S12000013,Na h-Eileanan Siar,utla,2021-04-25,0.0
S12000029,South Lanarkshire,utla,2021-04-25,24.6
S12000045,East Dunbartonshire,utla,2021-04-25,40.5
W06000023,Powys,utla,2021-04-25,8.3
E06000003,Redcar and Cleveland,utla,2021-04-24,14.6
E06000014,York,utla,2021-04-24,19.5
E06000050,Cheshire West and Chester,utla,2021-04-24,12.2
E08000001,Bolton,utla,2021-04-24,45.2
E08000016,Barnsley,utla,2021-04-24,58.3
E08000031,Wolverhampton,utla,2021-04-24,21.6
E08000032,Bradford,utla,2021-04-24,53.7
E09000018,Hounslow,utla,2021-04-24,36.8
E09000032,Wandsworth,utla,2021-04-24,30.0
E09000033,Westminster,utla,2021-04-24,33.3
E10000034,Worcestershire,utla,2021-04-24,13.3
S12000013,Na h-Eileanan Siar,utla,2021-04-24,0.0
S12000029,South Lanarkshire,utla,2021-04-24,25.9
S12000045,East Dunbartonshire,utla,2021-04-24,45.1
W06000023,Powys,utla,2021-04-24,10.6
E06000003,Redcar and Cleveland,utla,2021-04-23,12.4
E06000014,York,utla,2021-04-23,19.9
E06000050,Cheshire West and Chester,utla,2021-04-23,12.8
E08000001,Bolton,utla,2021-04-23,44.2
E08000016,Barnsley,utla,2021-04-23,55.1
E08000031,Wolverhampton,utla,2021-04-23,20.5
E08000032,Bradford,utla,2021-04-23,51.1
E09000018,Hounslow,utla,2021-04-23,35.7
E09000032,Wandsworth,utla,2021-04-23,28.2
E09000033,Westminster,utla,2021-04-23,32.5
E10000034,Worcestershire,utla,2021-04-23,13.8
S12000013,Na h-Eileanan Siar,utla,2021-04-23,0.0
S12000029,South Lanarkshire,utla,2021-04-23,29.0
S12000045,East Dunbartonshire,utla,2021-04-23,44.2
W06000023,Powys,utla,2021-04-23,12.1
E06000003,Redcar and Cleveland,utla,2021-04-22,13.9
E06000014,York,utla,2021-04-22,21.4
E06000050,Cheshire West and Chester,utla,2021-04-22,14.0
E08000001,Bolton,utla,2021-04-22,41.7
E08000016,Barnsley,utla,2021-04-22,60.4
E08000031,Wolverhampton,utla,2021-04-22,20.5
E08000032,Bradford,utla,2021-04-22,54.5
E09000018,Hounslow,utla,2021-04-22,41.2
E09000032,Wandsworth,utla,2021-04-22,29.4
E09000033,Westminster,utla,2021-04-22,32.9
E10000034,Worcestershire,utla,2021-04-22,14.6
S12000013,Na h-Eileanan Siar,utla,2021-04-22,0.0
S12000029,South Lanarkshire,utla,2021-04-22,36.2
S12000045,East Dunbartonshire,utla,2021-04-22,40.5
W06000023,Powys,utla,2021-04-22,13.6
E06000003,Redcar and Cleveland,utla,2021-04-21,16.8
E06000014,York,utla,2021-04-21,19.0
E06000050,Cheshire West and Chester,utla,2021-04-21,13.4
E08000001,Bolton,utla,2021-04-21,45.9
E08000016,Barnsley,utla,2021-04-21,59.5
E08000031,Wolverhampton,utla,2021-04-21,21.6
E08000032,Bradford,utla,2021-04-21,53.0
E09000018,Hounslow,utla,2021-04-21,39.4
E09000032,Wandsworth,utla,2021-04-21,30.9
E09000033,Westminster,utla,2021-04-21,33.3
E10000034,Worcestershire,utla,2021-04-21,13.9
S12000013,Na h-Eileanan Siar,utla,2021-04-21,0.0
S12000029,South Lanarkshire,utla,2021-04-21,40.9
S12000045,East Dunbartonshire,utla,2021-04-21,36.8
W06000023,Powys,utla,2021-04-21,17.4
E06000003,Redcar and Cleveland,utla,2021-04-20,16.8
E06000014,York,utla,2021-04-20,17.6
E06000050,Cheshire West and Chester,utla,2021-04-20,12.0
E08000001,Bolton,utla,2021-04-20,46.6
E08000016,Barnsley,utla,2021-04-20,55.1
E08000031,Wolverhampton,utla,2021-04-20,23.2
E08000032,Bradford,utla,2021-04-20,55.9
E09000018,Hounslow,utla,2021-04-20,40.5
E09000032,Wandsworth,utla,2021-04-20,29.4
E09000033,Westminster,utla,2021-04-20,32.5
E10000034,Worcestershire,utla,2021-04-20,13.4
S12000013,Na h-Eileanan Siar,utla,2021-04-20,0.0
S12000029,South Lanarkshire,utla,2021-04-20,39.0
S12000045,East Dunbartonshire,utla,2021-04-20,32.2
W06000023,Powys,utla,2021-04-20,17.4
E06000003,Redcar and Cleveland,utla,2021-04-19,14.6
E06000014,York,utla,2021-04-19,17.1
E06000050,Cheshire West and Chester,utla,2021-04-19,13.1
E08000001,Bolton,utla,2021-04-19,49.7
E08000016,Barnsley,utla,2021-04-19,56.3
E08000031,Wolverhampton,utla,2021-04-19,24.7
E08000032,Bradford,utla,2021-04-19,53.4
E09000018,Hounslow,utla,2021-04-19,42.0
E09000032,Wandsworth,utla,2021-04-19,25.5
E09000033,Westminster,utla,2021-04-19,31.8
E10000034,Worcestershire,utla,2021-04-19,12.4
S12000013,Na h-Eileanan Siar,utla,2021-04-19,0.0
S12000029,South Lanarkshire,utla,2021-04-19,44.6
S12000045,East Dunbartonshire,utla,2021-04-19,30.4
W06000023,Powys,utla,2021-04-19,18.1
E06000003,Redcar and Cleveland,utla,2021-04-18,14.6
E06000014,York,utla,2021-04-18,13.8
E06000050,Cheshire West and Chester,utla,2021-04-18,11.7
E08000001,Bolton,utla,2021-04-18,52.2
E08000016,Barnsley,utla,2021-04-18,53.5
E08000031,Wolverhampton,utla,2021-04-18,25.4
E08000032,Bradford,utla,2021-04-18,57.2
E09000018,Hounslow,utla,2021-04-18,40.5
E09000032,Wandsworth,utla,2021-04-18,24.9
E09000033,Westminster,utla,2021-04-18,27.2
E10000034,Worcestershire,utla,2021-04-18,11.7
S12000013,Na h-Eileanan Siar,utla,2021-04-18,0.0
S12000029,South Lanarkshire,utla,2021-04-18,46.8
S12000045,East Dunbartonshire,utla,2021-04-18,24.9
W06000023,Powys,utla,2021-04-18,18.1
E06000003,Redcar and Cleveland,utla,2021-04-17,19.0
E06000014,York,utla,2021-04-17,14.2
E06000050,Cheshire West and Chester,utla,2021-04-17,9.9
E08000001,Bolton,utla,2021-04-17,48.3
E08000016,Barnsley,utla,2021-04-17,55.1
E08000031,Wolverhampton,utla,2021-04-17,24.3
E08000032,Bradford,utla,2021-04-17,60.6
E09000018,Hounslow,utla,2021-04-17,35.0
E09000032,Wandsworth,utla,2021-04-17,23.1
E09000033,Westminster,utla,2021-04-17,29.5
E10000034,Worcestershire,utla,2021-04-17,11.1
S12000013,Na h-Eileanan Siar,utla,2021-04-17,0.0
S12000029,South Lanarkshire,utla,2021-04-17,47.1
S12000045,East Dunbartonshire,utla,2021-04-17,19.3
W06000023,Powys,utla,2021-04-17,16.6
E06000003,Redcar and Cleveland,utla,2021-04-16,21.9
E06000014,York,utla,2021-04-16,12.3
E06000050,Cheshire West and Chester,utla,2021-04-16,9.6
E08000001,Bolton,utla,2021-04-16,47.6
E08000016,Barnsley,utla,2021-04-16,64.4
E08000031,Wolverhampton,utla,2021-04-16,26.2
E08000032,Bradford,utla,2021-04-16,70.4
E09000018,Hounslow,utla,2021-04-16,37.2
E09000032,Wandsworth,utla,2021-04-16,27.9
E09000033,Westminster,utla,2021-04-16,30.6
E10000034,Worcestershire,utla,2021-04-16,11.2
S12000013,Na h-Eileanan Siar,utla,2021-04-16,0.0
S12000029,South Lanarkshire,utla,2021-04-16,46.8
S12000045,East Dunbartonshire,utla,2021-04-16,15.6
W06000023,Powys,utla,2021-04-16,15.9
E06000003,Redcar and Cleveland,utla,2021-04-15,24.1
E06000014,York,utla,2021-04-15,9.5
E06000050,Cheshire West and Chester,utla,2021-04-15,15.4
E08000001,Bolton,utla,2021-04-15,46.3
E08000016,Barnsley,utla,2021-04-15,63.6
E08000031,Wolverhampton,utla,2021-04-15,29.6
E08000032,Bradford,utla,2021-04-15,73.4
E09000018,Hounslow,utla,2021-04-15,33.5
E09000032,Wandsworth,utla,2021-04-15,27.3
E09000033,Westminster,utla,2021-04-15,32.1
E10000034,Worcestershire,utla,2021-04-15,10.9
S12000013,Na h-Eileanan Siar,utla,2021-04-15,0.0
S12000029,South Lanarkshire,utla,2021-04-15,44.3
S12000045,East Dunbartonshire,utla,2021-04-15,14.7
W06000023,Powys,utla,2021-04-15,16.6
E06000003,Redcar and Cleveland,utla,2021-04-14,21.1
E06000014,York,utla,2021-04-14,11.9
E06000050,Cheshire West and Chester,utla,2021-04-14,16.3
E08000001,Bolton,utla,2021-04-14,44.2
E08000016,Barnsley,utla,2021-04-14,68.5
E08000031,Wolverhampton,utla,2021-04-14,28.5
E08000032,Bradford,utla,2021-04-14,81.7
E09000018,Hounslow,utla,2021-04-14,39.0
E09000032,Wandsworth,utla,2021-04-14,23.7
E09000033,Westminster,utla,2021-04-14,31.0
E10000034,Worcestershire,utla,2021-04-14,11.6
S12000013,Na h-Eileanan Siar,utla,2021-04-14,0.0
S12000029,South Lanarkshire,utla,2021-04-14,44.0
S12000045,East Dunbartonshire,utla,2021-04-14,13.8
W06000023,Powys,utla,2021-04-14,16.6
E06000003,Redcar and Cleveland,utla,2021-04-13,21.9
E06000014,York,utla,2021-04-13,13.3
E06000050,Cheshire West and Chester,utla,2021-04-13,17.8
E08000001,Bolton,utla,2021-04-13,47.6
E08000016,Barnsley,utla,2021-04-13,77.0
E08000031,Wolverhampton,utla,2021-04-13,30.4
E08000032,Bradford,utla,2021-04-13,85.0
E09000018,Hounslow,utla,2021-04-13,35.7
E09000032,Wandsworth,utla,2021-04-13,23.4
E09000033,Westminster,utla,2021-04-13,32.9
E10000034,Worcestershire,utla,2021-04-13,11.2
S12000013,Na h-Eileanan Siar,utla,2021-04-13,0.0
S12000029,South Lanarkshire,utla,2021-04-13,43.7
S12000045,East Dunbartonshire,utla,2021-04-13,20.3
W06000023,Powys,utla,2021-04-13,17.4
E06000003,Redcar and Cleveland,utla,2021-04-12,23.3
E06000014,York,utla,2021-04-12,11.4
E06000050,Cheshire West and Chester,utla,2021-04-12,18.4
E08000001,Bolton,utla,2021-04-12,47.3
E08000016,Barnsley,utla,2021-04-12,80.6
E08000031,Wolverhampton,utla,2021-04-12,28.1
E08000032,Bradford,utla,2021-04-12,89.9
E09000018,Hounslow,utla,2021-04-12,40.1
E09000032,Wandsworth,utla,2021-04-12,25.8
E09000033,Westminster,utla,2021-04-12,30.2
E10000034,Worcestershire,utla,2021-04-12,12.4
S12000013,Na h-Eileanan Siar,utla,2021-04-12,0.0
S12000029,South Lanarkshire,utla,2021-04-12,41.2
S12000045,East Dunbartonshire,utla,2021-04-12,23.9
W06000023,Powys,utla,2021-04-12,17.4
E06000003,Redcar and Cleveland,utla,2021-04-11,24.1
E06000014,York,utla,2021-04-11,10.9
E06000050,Cheshire West and Chester,utla,2021-04-11,19.5
E08000001,Bolton,utla,2021-04-11,44.2
E08000016,Barnsley,utla,2021-04-11,81.0
E08000031,Wolverhampton,utla,2021-04-11,27.3
E08000032,Bradford,utla,2021-04-11,93.0
E09000018,Hounslow,utla,2021-04-11,39.8
E09000032,Wandsworth,utla,2021-04-11,24.9
E09000033,Westminster,utla,2021-04-11,30.6
E10000034,Worcestershire,utla,2021-04-11,12.8
S12000013,Na h-Eileanan Siar,utla,2021-04-11,0.0
S12000029,South Lanarkshire,utla,2021-04-11,39.9
S12000045,East Dunbartonshire,utla,2021-04-11,26.7
W06000023,Powys,utla,2021-04-11,15.1
E06000003,Redcar and Cleveland,utla,2021-04-10,19.7
E06000014,York,utla,2021-04-10,10.4
E06000050,Cheshire West and Chester,utla,2021-04-10,20.7
E08000001,Bolton,utla,2021-04-10,47.3
E08000016,Barnsley,utla,2021-04-10,88.7
E08000031,Wolverhampton,utla,2021-04-10,31.1
E08000032,Bradford,utla,2021-04-10,93.6
E09000018,Hounslow,utla,2021-04-10,42.4
E09000032,Wandsworth,utla,2021-04-10,24.0
E09000033,Westminster,utla,2021-04-10,29.5
E10000034,Worcestershire,utla,2021-04-10,12.8
S12000013,Na h-Eileanan Siar,utla,2021-04-10,0.0
S12000029,South Lanarkshire,utla,2021-04-10,38.1
S12000045,East Dunbartonshire,utla,2021-04-10,27.6
W06000023,Powys,utla,2021-04-10,14.3
E06000003,Redcar and Cleveland,utla,2021-04-09,15.3
E06000014,York,utla,2021-04-09,10.0
E06000050,Cheshire West and Chester,utla,2021-04-09,21.0
E08000001,Bolton,utla,2021-04-09,51.1
