areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000001,Bolton,utla,2021-05-09,20_24,4,43,259.3
E08000001,Bolton,utla,2021-05-09,25_29,7,42,226.1
E08000001,Bolton,utla,2021-05-09,30_34,6,51,259.6
E08000001,Bolton,utla,2021-05-09,35_39,10,55,298.0
E08000001,Bolton,utla,2021-05-09,40_44,10,44,261.1
E08000001,Bolton,utla,2021-05-09,45_49,8,35,181.1
E08000001,Bolton,utla,2021-05-09,50_54,5,16,79.8
E08000001,Bolton,utla,2021-05-09,55_59,7,18,98.6
E08000001,Bolton,utla,2021-05-09,60_64,4,12,78.7
E08000001,Bolton,utla,2021-05-09,65_69,0,7,50.6
E08000001,Bolton,utla,2021-05-09,70_74,1,2,14.4
E08000001,Bolton,utla,2021-05-09,75_79,0,2,20.8
E08000001,Bolton,utla,2021-05-09,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-09,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-09,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-09,unassigned,0,0,
E08000001,Bolton,utla,2021-05-09,60+,5,24,36.9
E08000001,Bolton,utla,2021-05-09,00_59,104,520,233.7
E08000001,Bolton,utla,2021-05-08,00_04,4,15,78.3
E08000001,Bolton,utla,2021-05-08,05_09,10,48,237.7
E08000001,Bolton,utla,2021-05-08,10_14,7,59,314.1
E08000001,Bolton,utla,2021-05-08,15_19,7,52,313.5
E08000001,Bolton,utla,2021-05-08,20_24,8,41,247.2
E08000001,Bolton,utla,2021-05-08,25_29,5,37,199.2
E08000001,Bolton,utla,2021-05-08,30_34,9,49,249.4
E08000001,Bolton,utla,2021-05-08,35_39,5,51,276.3
E08000001,Bolton,utla,2021-05-08,40_44,8,36,213.6
E08000001,Bolton,utla,2021-05-08,45_49,4,29,150.1
E08000001,Bolton,utla,2021-05-08,50_54,0,12,59.8
E08000001,Bolton,utla,2021-05-08,55_59,2,12,65.7
E08000001,Bolton,utla,2021-05-08,60_64,2,9,59.0
E08000001,Bolton,utla,2021-05-08,65_69,1,8,57.8
E08000001,Bolton,utla,2021-05-08,70_74,0,2,14.4
E08000001,Bolton,utla,2021-05-08,75_79,0,3,31.2
E08000001,Bolton,utla,2021-05-08,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-08,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-08,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-08,unassigned,0,0,
E08000001,Bolton,utla,2021-05-08,60+,3,23,35.3
E08000001,Bolton,utla,2021-05-08,00_59,69,441,198.2
E08000001,Bolton,utla,2021-05-07,00_04,6,11,57.4
E08000001,Bolton,utla,2021-05-07,05_09,5,40,198.1
E08000001,Bolton,utla,2021-05-07,10_14,10,55,292.8
E08000001,Bolton,utla,2021-05-07,15_19,11,47,283.3
E08000001,Bolton,utla,2021-05-07,20_24,6,37,223.1
E08000001,Bolton,utla,2021-05-07,25_29,8,35,188.4
E08000001,Bolton,utla,2021-05-07,30_34,10,41,208.7
E08000001,Bolton,utla,2021-05-07,35_39,11,51,276.3
E08000001,Bolton,utla,2021-05-07,40_44,7,37,219.5
E08000001,Bolton,utla,2021-05-07,45_49,8,26,134.6
E08000001,Bolton,utla,2021-05-07,50_54,1,13,64.8
E08000001,Bolton,utla,2021-05-07,55_59,7,12,65.7
E08000001,Bolton,utla,2021-05-07,60_64,1,7,45.9
E08000001,Bolton,utla,2021-05-07,65_69,1,10,72.2
E08000001,Bolton,utla,2021-05-07,70_74,0,5,36.1
E08000001,Bolton,utla,2021-05-07,75_79,0,4,41.6
E08000001,Bolton,utla,2021-05-07,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-07,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-07,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-07,unassigned,0,0,
E08000001,Bolton,utla,2021-05-07,60+,2,27,41.5
E08000001,Bolton,utla,2021-05-07,00_59,90,405,182.0
E08000001,Bolton,utla,2021-05-06,00_04,0,5,26.1
E08000001,Bolton,utla,2021-05-06,05_09,7,37,183.3
E08000001,Bolton,utla,2021-05-06,10_14,9,47,250.2
E08000001,Bolton,utla,2021-05-06,15_19,7,40,241.1
E08000001,Bolton,utla,2021-05-06,20_24,11,33,199.0
E08000001,Bolton,utla,2021-05-06,25_29,6,32,172.3
E08000001,Bolton,utla,2021-05-06,30_34,6,38,193.4
E08000001,Bolton,utla,2021-05-06,35_39,14,41,222.1
E08000001,Bolton,utla,2021-05-06,40_44,3,31,183.9
E08000001,Bolton,utla,2021-05-06,45_49,4,19,98.3
E08000001,Bolton,utla,2021-05-06,50_54,5,15,74.8
E08000001,Bolton,utla,2021-05-06,55_59,1,8,43.8
E08000001,Bolton,utla,2021-05-06,60_64,1,9,59.0
E08000001,Bolton,utla,2021-05-06,65_69,2,11,79.5
E08000001,Bolton,utla,2021-05-06,70_74,0,5,36.1
E08000001,Bolton,utla,2021-05-06,75_79,0,4,41.6
E08000001,Bolton,utla,2021-05-06,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-06,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-06,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-06,unassigned,0,0,
E08000001,Bolton,utla,2021-05-06,60+,3,30,46.1
E08000001,Bolton,utla,2021-05-06,00_59,73,346,155.5
E08000001,Bolton,utla,2021-05-05,00_04,1,5,26.1
E08000001,Bolton,utla,2021-05-05,05_09,17,30,148.6
E08000001,Bolton,utla,2021-05-05,10_14,14,45,239.6
E08000001,Bolton,utla,2021-05-05,15_19,4,35,211.0
E08000001,Bolton,utla,2021-05-05,20_24,4,27,162.8
